iter	RMSE
0	3.977920639
1	3.970467462
2	3.963740315
3	3.954742422
4	3.945725036
5	3.936926815
6	3.927850973
7	3.919018586
8	3.910496555
9	3.901908016
10	3.893050055
11	3.884748041
12	3.875877368
13	3.86717666
14	3.858511048
15	3.849841668
16	3.84120242
17	3.832528641
18	3.824239142
19	3.816151498
20	3.807568592
21	3.79983741
22	3.791476789
23	3.783804497
24	3.775905713
25	3.768174057
26	3.760408007
27	3.754380036
28	3.746153822
29	3.738007589
30	3.730137432
31	3.722616233
32	3.714572516
33	3.706826286
34	3.699174639
35	3.691386656
36	3.68413498
37	3.67697746
38	3.669518383
39	3.662172646
40	3.654696576
41	3.647399746
42	3.641355181
43	3.634109302
44	3.628192333
45	3.620933382
46	3.613725066
47	3.606214968
48	3.598895321
49	3.591819289
50	3.586355343
51	3.579270336
52	3.572382287
53	3.56560544
54	3.558316743
55	3.551419207
56	3.544348227
57	3.537473924
58	3.531554503
59	3.524873717
60	3.517831788
61	3.510914655
62	3.504025448
63	3.497585726
64	3.49084184
65	3.48446485
66	3.477707018
67	3.471970223
68	3.465716382
69	3.460145189
70	3.45393019
71	3.447592498
72	3.441002136
73	3.435796892
74	3.429842945
75	3.423293925
76	3.417928178
77	3.41272933
78	3.406876737
79	3.401363212
80	3.39503682
81	3.388725951
82	3.38261014
83	3.376426253
84	3.370504305
85	3.3643237
86	3.358486369
87	3.352466102
88	3.346777387
89	3.340864771
90	3.33606379
91	3.330138307
92	3.324597645
93	3.318703964
94	3.312978677
95	3.307540829
96	3.301576342
97	3.296115891
98	3.291885272
99	3.286146608
100	3.280782257
101	3.275282215
102	3.269708137
103	3.263941791
104	3.25947213
105	3.253824512
106	3.2487175
107	3.24323365
108	3.238454736
109	3.232947454
110	3.228558925
111	3.223473744
112	3.218238579
113	3.213622672
114	3.208353532
115	3.203062175
116	3.197710388
117	3.193453503
118	3.189087584
119	3.183779855
120	3.17864301
121	3.174052857
122	3.168908801
123	3.164091955
124	3.159544278
125	3.155972635
126	3.150701023
127	3.145859416
128	3.140954989
129	3.136373001
130	3.131700134
131	3.127345491
132	3.123639353
133	3.11907557
134	3.114243266
135	3.109399324
136	3.104634729
137	3.099786755
138	3.095298882
139	3.09065015
140	3.085997555
141	3.081215988
142	3.07650403
143	3.072690344
144	3.068132808
145	3.063901888
146	3.059418836
147	3.054830117
148	3.050740079
149	3.046255763
150	3.041862056
151	3.038423881
152	3.034477734
153	3.03053901
154	3.026339562
155	3.022923481
156	3.018634471
157	3.014310901
158	3.010196104
159	3.007004508
160	3.003840843
161	3.000641287
162	2.997348926
163	2.994597967
164	2.991230522
165	2.98825938
166	2.984184179
167	2.980905857
168	2.976766587
169	2.97297727
170	2.968767383
171	2.965548355
172	2.961515077
173	2.95759599
174	2.953538618
175	2.949747774
176	2.946356137
177	2.942467146
178	2.938796445
179	2.934879009
180	2.931081215
181	2.928438678
182	2.924829512
183	2.92130562
184	2.917666424
185	2.914176809
186	2.910477437
187	2.906699235
188	2.903054802
189	2.900106535
190	2.89655226
191	2.892844569
192	2.889324685
193	2.886818105
194	2.883348411
195	2.879894868
196	2.876592484
197	2.873902602
198	2.870343131
199	2.866891797
200	2.863492491
201	2.860093803
202	2.856834505
203	2.853815238
204	2.850409513
205	2.847111553
206	2.844531574
207	2.842029859
208	2.838779263
209	2.835492712
210	2.833139155
211	2.831037411
212	2.827884181
213	2.824699067
214	2.821401663
215	2.819304103
216	2.816164003
217	2.813231256
218	2.810168142
219	2.806942745
220	2.803970779
221	2.80141364
222	2.798484401
223	2.795620147
224	2.792686789
225	2.790014434
226	2.787656167
227	2.785727386
228	2.782915921
229	2.780116028
230	2.777198951
231	2.77423432
232	2.77143572
233	2.768622294
234	2.766526699
235	2.7640812
236	2.761214334
237	2.758565296
238	2.755871595
239	2.753375622
240	2.750564052
241	2.747917012
242	2.745265222
243	2.742633831
244	2.739878296
245	2.737311652
246	2.734742701
247	2.732018537
248	2.729567356
249	2.726792347
250	2.724234589
251	2.722109144
252	2.719468142
253	2.7175168
254	2.714994733
255	2.712400769
256	2.710616389
257	2.708309457
258	2.705887165
259	2.704019984
260	2.702316794
261	2.699832786
262	2.697460669
263	2.695529153
264	2.693335295
265	2.690729071
266	2.688316975
267	2.686023242
268	2.683756146
269	2.682041806
270	2.679715519
271	2.677472884
272	2.67517053
273	2.672909573
274	2.670588241
275	2.668450681
276	2.666832873
277	2.664673937
278	2.662380119
279	2.660154458
280	2.657998053
281	2.655723565
282	2.653541079
283	2.651339267
284	2.649304975
285	2.647561392
286	2.645394863
287	2.643236191
288	2.641245109
289	2.639282852
290	2.637213757
291	2.635137987
292	2.633670502
293	2.631559047
294	2.62957281
295	2.627596243
296	2.625983524
297	2.624645714
298	2.622509394
299	2.62055158
300	2.618501739
301	2.616492779
302	2.615047496
303	2.612997844
304	2.611627741
305	2.609736191
306	2.608274782
307	2.60638265
308	2.604548169
309	2.603005005
310	2.601061004
311	2.599425268
312	2.59766633
313	2.595771818
314	2.594279436
315	2.59239595
316	2.590511556
